station,zip_code
59 ST,10065
5 AV/59 ST,10022
57 ST-7 AV,10106
49 ST,10019
TIMES SQ-42 ST,10018
34 ST-HERALD SQ,10001
28 ST,10016
23 ST,10011
14 ST-UNION SQ,10003
8 ST-NYU,10003
PRINCE ST,10012
CANAL ST,10013
CITY HALL,10013
CORTLANDT ST,10007
RECTOR ST,10006
WHITEHALL S-FRY,10004
DELANCEY/ESSEX,10002
BOWERY,10002
CHAMBERS ST,10007
FULTON ST,10038
BROAD ST,10005
7 AV,10019
PARK PLACE,10007
BOTANIC GARDEN,10458
PROSPECT PARK,11226
PARKSIDE AV,11226
CHURCH AV,11226
BEVERLEY ROAD,11226
CORTELYOU RD,11226
NEWKIRK PLAZA,11226
AVENUE H,11230
AVENUE J,11230
AVENUE M,11230
KINGS HWY,11229
AVENUE U,11223
NECK RD,11229
SHEEPSHEAD BAY,11235
BRIGHTON BEACH,11235
OCEAN PKWY,11235
BOROUGH HALL,11201
JAY ST-METROTEC,11201
DEKALB AV,11217
ATL AV-BARCLAY,11217
UNION ST,11215
4AV-9 ST,11215
PROSPECT AV,11215
25 ST,11691
36 ST,10001
45 ST,11220
53 ST,11220
BAY RIDGE AV,11220
77 ST,10075
86 ST,10024
BAY RIDGE-95 ST,11209
8 AV,10014
FT HAMILTON PKY,11218
NEW UTRECHT AV,11219
18 AV,11230
20 AV,11214
BAY PKWY,11214
9 AV,11219
50 ST,10019
55 ST,11219
71 ST,11228
79 ST,10024
25 AV,11214
BAY 50 ST,11214
CONEY IS-STILLW,10065
W 8 ST-AQUARIUM,11224
6 AV,10011
3 AV,10003
1 AV,10009
BEDFORD AV,11211
LORIMER ST,11211
GRAHAM AV,11211
GRAND ST,10002
MONTROSE AV,11206
MORGAN AV,11237
JEFFERSON ST,11237
MYRTLE-WYCKOFF,11237
HALSEY ST,11237
WILSON AV,11207
BUSHWICK AV,11207
ATLANTIC AV,11207
SUTTER AV,11207
LIVONIA AV,11212
NEW LOTS,11207
EAST 105 ST,11236
CANARSIE-ROCKAW,11236
HOWARD BCH JFK,10065
JFK JAMAICA CT1,11435
MARCY AV,11211
HEWES ST,11211
FLUSHING AV,11206
MYRTLE AV,10065
KOSCIUSZKO ST,11221
GATES AV,11221
CHAUNCEY ST,11207
ALABAMA AV,11207
VAN SICLEN AV,11207
CLEVELAND ST,11208
NORWOOD AV,11208
CRESCENT ST,11106
CYPRESS HILLS,11208
75 ST-ELDERTS,11421
85 ST-FOREST PK,11421
WOODHAVEN BLVD,11373
104 ST,11418
111 ST,11418
121 ST,11418
CENTRAL AV,11221
KNICKERBOCKER,10002
SENECA AVE,11385
FOREST AVE,11385
FRESH POND RD,11385
METROPOLITAN AV,11211
INWOOD-207 ST,10034
DYCKMAN ST,10034
190 ST,10040
181 ST,10033
175 ST,10033
168 ST,10032
163 ST-AMSTERDM,10032
155 ST,10039
145 ST,10031
135 ST,10030
125 ST,10035
116 ST,10035
CATHEDRAL PKWY,10025
103 ST,10025
96 ST,10029
81 ST-MUSEUM,10024
72 ST,10023
59 ST COLUMBUS,10023
42 ST-PORT AUTH,10036
34 ST-PENN STA,10001
14 ST,10011
W 4 ST-WASH SQ,10011
SPRING ST,10012
WORLD TRADE CTR,10007
HIGH ST,11201
HOYT-SCHER,11201
LAFAYETTE AV,11217
CLINTON-WASH AV,11238
FRANKLIN AV,11225
NOSTRAND AV,11225
KINGSTON-THROOP,11213
UTICA AV,11213
RALPH AV,11233
ROCKAWAY AV,11224
BROADWAY JCT,10065
LIBERTY AV,11207
VAN SICLEN AVE,11207
SHEPHERD AV,11208
EUCLID AV,11208
GRANT AV,11208
80 ST,11417
88 ST,11417
ROCKAWAY BLVD,11417
OZONE PK LEFFRT,11419
AQUEDUCT N.COND,11417
AQUEDUCT RACETR,11417
BROAD CHANNEL,11693
BEACH 90 ST,11693
BEACH 98 ST,11694
BEACH 105 ST,11694
ROCKAWAY PARK B,11694
BEACH 67 ST,11692
BEACH 60 ST,11692
BEACH 44 ST,11691
BEACH 36 ST,11691
BEACH 25 ST,11691
FAR ROCKAWAY,11691
161/YANKEE STAD,10451
167 ST,10452
170 ST,10452
174-175 STS,10453
TREMONT AV,10460
182-183 STS,10453
FORDHAM RD,10468
KINGSBRIDGE RD,10468
BEDFORD PK BLVD,10468
NORWOOD 205 ST,10467
5 AV/53 ST,10022
LEXINGTON AV/53,10022
COURT SQ-23 ST,11101
QUEENS PLAZA,11101
STEINWAY ST,11103
46 ST,11103
NORTHERN BLVD,11377
65 ST,11377
JKSN HT-ROOSVLT,11372
ELMHURST AV,11372
GRAND-NEWTOWN,11373
